"UNIQUEID","StreetAddress","City","State","Zip"
"286","220 Marine Ave, Ste A","Newport Beach","CA","92662"
"287","34343 Blue Lantern","Dana Point","CA","92629"
"288","3601 Jamboree Rd, Ste 4","Newport Beach","CA","92660"
"289","12127 Brookhurst St","Garden Grove","CA","92840"
"290","32371 Golden Lantern, Ste E","Laguna Niguel","CA","92677"
"291","15040 E Kensington Park Dr, Ste 200","Tustin","CA","92782"
"292","1313 S Harbor Blvd","Anaheim","CA","92802"
"293","4947 La Palma Ave","La Palma","CA","90623"
"294","501 N State College Blvd, Ste C","Fullerton","CA","92831"
"295","428 Katella Ave, Ste B","Orange","CA","92687"
"296","9401 Westminster Ave","Garden Grove","CA","92844"
"297","9355 Bolsa Ave","Westminster","CA","92683"
"298","3333 Harbor Blvd","Costa Mesa","CA","92626"
"299","26612 Towne Centre Dr, Ste A","Lake Forest","CA","92610"
"300","23364 El Toro Rd","Lake Forest","CA","92630"
"301","27100 Alicia Pkwy","Laguna Niguel","CA","92677"
"302","8595 W Katella Ave","Stanton","CA","90680"
"303","18541 Beach Blvd, Ste 102","Huntington Beach","CA","92648"
"304","2803 Main St","Irvine","CA","92614"
"305","2800 N Main St, Ste 1038","Santa Ana","CA","92705"
"306","428 W Katella Ave, Ste A","Orange","CA","92867"
"307","5445 Oceanus Dr, Ste 115","Huntington Beach","CA","92649"
"308","27472 Portola Pkwy, Ste 202","Foothill Ranch","CA","92610"
"309","1085 Laguna Canyon Rd","Laguna Beach","CA","92651"
"310","13202 Brookhurst St","Garden Grove","CA","92843"
"311","213 N Harbor Blvd","Fullerton","CA","92832"
"312","8414 E Chapman Ave","Orange","CA","92869"
"313","26696 Portola Pkwy, Ste B","Lake Forest","CA","92610"
"314","400 N Brea Blvd","Brea","CA","92821"
"315","789 Wildcat Way","Brea","CA","92821"
"316","453 S Associated Rd","Brea","CA","92821"
"317","665 N Tustin St, Ste J","Orange","CA","92867"
"318","15101 Alton Pkwy, Bldg 1","Irvine","CA","92618"
"319","15101 Alton Pkwy, Bldg 1","Irvine","CA","92618"
